"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-01 ~ 2026-04-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"4871","경기도 시흥시 정왕동","1868","1868","0000","주공2","59.6700","202604","07","21,800","-","7","개인","개인","1997","정왕대로117번길 9","-","중개거래","경기 시흥시","-"
"4872","경기도 용인시 기흥구 언남동","486","0486","0000","하마비마을동일하이빌1","84.9890","202604","07","61,500","-","17","개인","개인","2001","구성로 105-15","-","중개거래","경기 용인시 기흥구","-"
"4873","경기도 용인시 기흥구 언남동","490","0490","0000","언동마을신일해피트리","119.8740","202604","07","48,500","-","12","개인","개인","2001","구성로 184","-","중개거래","경기 용인시 기흥구","-"
"4874","경기도 의왕시 오전동","892","0892","0000","의왕서해그랑블(블루스퀘어)","84.8400","202604","07","71,500","-","37","개인","개인","2018","경수대로 262","-","중개거래","경기 의왕시","-"
"4875","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","59.9500","202604","07","64,750","-","1","개인","개인","2023","효원로93번길 33","-","중개거래","경기 수원시 팔달구","-"
"4876","경기도 평택시 비전동","931","0931","0000","비전경남아너스빌","84.7100","202604","07","26,000","-","15","개인","개인","2009","평남로 671","20260407","직거래","-","-"
"4877","경기도 수원시 권선구 입북동","815","0815","0000","서수원레이크푸르지오2단지","59.9400","202604","07","41,000","-","12","개인","개인","2014","입북로77번길 61","-","중개거래","경기 수원시 권선구","-"
"4878","경기도 이천시 증일동","82-7","0082","0007","이천역현대홈타운","84.9500","202604","07","30,500","-","9","개인","개인","2005","구만리로 42","-","중개거래","경기 이천시","-"
"4879","경기도 남양주시 오남읍 양지리","807-2","0807","0002","대림e편한세상2단지","84.9540","202604","07","38,000","-","2","개인","개인","2009","양지로240번길 38","-","중개거래","경기 남양주시","-"
"4880","경기도 용인시 기흥구 신갈동","703","0703","0000","파크시엘","75.6700","202604","07","72,000","-","11","개인","개인","2004","새천년로 40","-","중개거래","경기 용인시 기흥구","-"
"4881","경기도 평택시 청북읍 옥길리","1071","1071","0000","브라운스톤청북","77.7895","202604","07","21,800","-","18","개인","개인","2017","청북남로 365","-","중개거래","경기 평택시","-"
"4882","경기도 시흥시 정왕동","1868","1868","0000","주공2","84.6400","202604","07","29,700","-","4","개인","개인","1997","정왕대로117번길 9","-","중개거래","경기 시흥시","-"
"4883","경기도 김포시 감정동","685","0685","0000","푸른마을(신안)","68.9310","202604","07","24,400","-","10","개인","개인","2001","감정로 64","-","중개거래","경기 김포시","-"
"4884","경기도 광주시 역동","364","0364","0000","광주역자연앤자이","74.7643","202604","07","72,000","-","6","개인","개인","2021","광주역5로 18","-","중개거래","경기 광주시, 경기 용인시 수지구","-"
"4885","경기도 광명시 철산동","634","0634","0000","철산래미안자이","58.6100","202604","07","112,000","-","1","개인","개인","2009","디지털로 56","-","중개거래","경기 광명시","-"
"4886","경기도 용인시 수지구 성복동","155","0155","0000","성동마을엘지빌리지1차","192.6200","202604","07","122,500","-","7","개인","개인","2001","성복2로 86","-","중개거래","경기 용인시 수지구","-"
"4887","경기도 부천시 원미구 약대동","216-1","0216","0001","부천아이파크","84.5800","202604","07","66,500","-","14","개인","개인","2017","평천로 679","-","중개거래","경기 부천시 원미구","-"
"4888","경기도 광명시 철산동","630","0630","0000","브라운스톤2차","59.7570","202604","07","60,000","-","12","개인","개인","2007","도덕공원로 35","-","직거래","-","-"
"4889","경기도 김포시 감정동","696","0696","0000","김포한강신안실크밸리3차","84.8026","202604","07","42,600","-","4","개인","개인","2012","중봉로 1-1","-","중개거래","경기 김포시","-"
"4890","경기도 수원시 영통구 신동","939","0939","0000","래미안영통마크원1단지","84.9400","202604","07","79,300","-","21","개인","개인","2013","권선로908번길 72","-","중개거래","경기 수원시 영통구","-"
"4891","경기도 안양시 동안구 관양동","1587","1587","0000","공작럭키","49.8000","202604","07","54,900","502","12","개인","개인","1993","학의로 168","-","중개거래","경기 안양시 동안구","26.04.10"
"4892","경기도 수원시 영통구 망포동","726","0726","0000","e편한세상영통2차(1단지)","74.5822","202604","07","65,000","-","24","개인","개인","2016","봉영로 1410-17","-","중개거래","경기 수원시 영통구","-"
"4893","경기도 시흥시 정왕동","1843","1843","0000","주공4","59.6600","202604","07","23,800","-","4","개인","개인","1998","정왕대로143번길 32","-","중개거래","경기 시흥시","-"
"4894","경기도 성남시 분당구 대장동","623","623","0000","판교풍경채어바니티(7단지)","84.9978","202604","07","124,000","-","5","개인","개인","2021","판교대장로 77","-","중개거래","경기 성남시 분당구","-"
"4895","경기도 광주시 태전동","697","0697","0000","이편한세상태전2차(301~306동)","74.4991","202604","07","51,700","-","6","개인","개인","2017","태전동로 11","-","중개거래","경기 광주시, 서울 강남구","-"
"4896","경기도 의왕시 포일동","523","0523","0000","인덕원센트럴푸르지오","59.9200","202604","07","76,000","-","2","개인","개인","2001","새롬길 21","-","중개거래","경기 의왕시, 서울 서초구","-"
"4897","경기도 의왕시 포일동","523","0523","0000","인덕원센트럴푸르지오","84.9600","202604","07","90,000","-","21","개인","개인","2001","새롬길 21","-","중개거래","경기 과천시, 경기 안양시 동안구","-"
"4898","경기도 안양시 동안구 관양동","1589","1589","0000","한가람(세경)","51.7500","202604","07","38,010","-","22","개인","개인","1996","달안로 110","-","직거래","-","-"
"4899","경기도 용인시 기흥구 마북동","630","0630","0000","교동마을현대홈타운","84.9923","202604","07","52,000","-","14","개인","개인","2003","마북로 124-9","-","중개거래","경기 용인시 기흥구","-"
"4900","경기도 화성시 효행구 봉담읍 동화리","가-","0000","0000","봉담자이라피네","84.9847","202604","07","54,000","-","1","개인","개인","2023"," 50","-","중개거래","경기 화성시 효행구","-"
"4901","경기도 시흥시 정왕동","1874-2","1874","0002","화성","128.4300","202604","07","51,500","-","7","개인","개인","1997","역전로 375-8","-","중개거래","경기 시흥시","-"
"4902","경기도 수원시 영통구 영통동","966-2","0966","0002","신나무실건영","84.9900","202604","07","87,000","-","16","개인","개인","2000","매영로 346","-","중개거래","경기 수원시 영통구","-"
"4903","경기도 성남시 분당구 백현동","545","0545","0000","백현마을2단지","101.8300","202604","07","269,000","-","1","개인","개인","2009","동판교로 122","-","중개거래","경기 성남시 분당구","-"
"4904","경기도 의정부시 민락동","889","0889","0000","의정부민락우미린더스카이","84.9907","202604","07","45,200","-","3","개인","개인","2018","송양로 76","-","중개거래","경기 의정부시","-"
"4905","경기도 의왕시 포일동","518","0518","0000","인덕원동아에코빌","85.0000","202604","07","79,000","-","3","개인","개인","2001","흥안대로456번길 125","-","중개거래","경기 의왕시, 서울 강남구","-"
"4906","경기도 평택시 포승읍 도곡리","1113","1113","0000","모아미래도1차","59.9717","202604","07","15,800","-","12","개인","개인","2006","여술로 74","-","중개거래","경기 평택시","-"
"4907","경기도 화성시 병점구 송산동","222","0222","0000","솔뫼마을한승미메이드","66.8144","202604","07","27,800","-","15","개인","개인","2005"," 34","-","중개거래","경기 화성시 병점구","-"
"4908","경기도 군포시 금정동","875","0875","0000","퇴계주공(351~359동)","42.7500","202604","07","27,500","-","8","개인","개인","1993","광정로 25-20","-","중개거래","경기 군포시","-"
"4909","경기도 평택시 청북읍 옥길리","1104","1104","0000","부영사랑으로2단지","59.9605","202604","07","14,000","-","14","개인","개인","2011","청북남로 277","-","중개거래","경기 평택시","-"
"4910","경기도 포천시 소흘읍 송우리","725-7","0725","0007","석향마을대방노블랜드","84.9600","202604","07","29,000","-","6","개인","개인","2005","태봉로 239","-","중개거래","경기 포천시","-"
"4911","경기도 고양시 일산동구 식사동","1529","1529","0000","위시티일산자이주상복합","141.9000","202604","07","64,000","-","24","개인","개인","2010","위시티2로11번길 45","-","중개거래","경기 고양시 일산동구","-"
"4912","경기도 용인시 수지구 성복동","771","0771","0000","버들치마을성복힐스테이트1차","157.1150","202604","07","104,500","-","5","개인","개인","2011","성복1로 91","-","중개거래","경기 용인시 수지구","-"
"4913","경기도 고양시 덕양구 고양동","724","0724","0000","푸른마을6단지","84.8265","202604","07","25,000","-","1","개인","개인","2007","푸른마을로 55","-","직거래","-","-"
"4914","경기도 성남시 분당구 정자동","215","0215","0000","더샵분당파크리버","84.9663","202604","07","164,400","102동","31","개인","개인","2021","돌마로 171","-","중개거래","경기 성남시 분당구","26.04.10"
"4915","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","36.0000","202604","07","92,000","-","15","개인","개인","1994","백현로 206","-","중개거래","경기 성남시 분당구","-"
"4916","경기도 시흥시 장현동","591","0591","0000","장현호반써밋","73.8023","202604","07","53,400","-","5","개인","개인","2020","장현순환로 58","-","중개거래","경기 시흥시","-"
"4917","경기도 용인시 처인구 유방동","330-1","0330","0001","용인보평역서희스타힐스리버파크","105.4455","202604","07","81,300","-","33","개인","개인","2024","한터로 55-30","-","직거래","-","-"
"4918","경기도 여주시 현암동","188-1","0188","0001","벽산","37.5200","202604","07","6,000","-","13","개인","개인","1997","도예로 35","-","직거래","-","-"
"4919","경기도 화성시 동탄구 석우동","49","0049","0000","푸르지오","59.5560","202604","07","59,700","-","5","개인","개인","2008"," 264","-","중개거래","경기 화성시 동탄구","-"
"4920","경기도 의정부시 의정부동","27-5","0027","0005","부성파인","57.6375","202604","07","19,000","1","14","개인","개인","2018","호국로1332번길 55","-","중개거래","경기 의정부시","26.04.14"
"4921","경기도 광주시 쌍령동","349","0349","0000","동성2","84.5270","202604","07","35,000","-","10","개인","개인","2002","경충대로1422번길 26","-","중개거래","경기 광주시","-"
"4922","경기도 평택시 청북읍 옥길리","1110","1110","0000","부영사랑으로1단지","59.9605","202604","07","16,000","-","10","개인","개인","2011","안청로1길 12","-","중개거래","경기 평택시","-"
"4923","경기도 의정부시 의정부동","27-5","0027","0005","부성파인","57.6375","202604","07","19,000","1","16","개인","개인","2018","호국로1332번길 55","-","중개거래","경기 의정부시","26.04.14"
"4924","경기도 평택시 장당동","631","0631","0000","제일하이빌1차","59.9726","202604","07","22,400","-","8","개인","개인","2005","경기대로 1155","-","중개거래","경기 평택시","-"
"4925","경기도 가평군 가평읍 읍내리","214","0214","0000","힐스테이트가평더뉴클래스","84.9750","202604","07","40,000","-","14","개인","개인","2023","가평제방길 233","-","중개거래","경기 가평군","-"
"4926","경기도 부천시 소사구 소사본동","135","0135","0000","소사에스케이뷰","84.9841","202604","07","54,800","-","19","개인","개인","2004","소삼로 62","-","중개거래","경기 부천시 소사구, 경기 화성시 효행구","-"
"4927","경기도 안양시 만안구 박달동","15-2","0015","0002","동원베네스트","84.9374","202604","07","48,800","-","10","개인","개인","2007","양화로147번길 7","-","중개거래","경기 안양시 만안구","-"
"4928","경기도 오산시 원동","900","0900","0000","오산역e-편한세상2단지","120.2153","202604","07","52,000","-","16","개인","개인","2007","오산로132번길 10","-","중개거래","경기 오산시","-"
"4929","경기도 부천시 소사구 소사본동","210-16","0210","0016","유진아파트","64.1100","202604","07","44,000","유진아파트","6","개인","법인","2022","호현로392번길 13","-","직거래","-","26.04.16"
"4930","경기도 오산시 원동","815-1","0815","0001","운암주공5단지","59.9900","202604","07","26,300","-","15","개인","개인","1999","대원로 70","-","중개거래","경기 오산시","-"
"4931","경기도 광주시 삼동","505","0505","0000","힐스테이트삼동역","75.9380","202604","07","69,000","-","10","개인","개인","2023","고불로 461-26","-","중개거래","경기 광주시","-"
"4932","경기도 수원시 권선구 권선동","1267","1267","0000","한성","134.9760","202604","07","58,600","-","8","개인","개인","1995","권중로 99","-","중개거래","경기 수원시 권선구","-"
"4933","경기도 의정부시 민락동","736-1","0736","0001","송산센트럴아파트","84.3400","202604","07","32,500","-","6","개인","개인","2002","용현로 118","-","중개거래","경기 의정부시","-"
"4934","경기도 파주시 와동동","1332","1332","0000","엘크루가람마을5단지","84.9400","202604","07","37,000","-","22","개인","개인","2014","가람로116번길 40","-","중개거래","경기 파주시","-"
"4935","경기도 여주시 교동","572","0572","0000","여주역금호어울림베르티스","84.9329","202604","07","45,000","-","18","개인","개인","2022","세종로 230","-","중개거래","경기 여주시","-"
"4936","경기도 광명시 소하동","1273","1273","0000","금호어울림","59.9700","202604","07","58,500","-","13","개인","개인","2006","하안로 154","-","중개거래","경기 광명시","-"
"4937","경기도 이천시 증포동","479","0479","0000","증포동한솔솔파크3","84.9202","202604","07","33,000","-","5","개인","개인","2010","이섭대천로 1451","-","중개거래","경기 이천시","-"
"4938","경기도 파주시 와동동","205","0205","0000","가람마을8단지동문굿모닝힐","71.5590","202604","07","30,500","-","13","개인","개인","2001","금바위로 47","-","중개거래","경기 파주시","-"
"4939","경기도 의정부시 민락동","691-1","0691","0001","산들마을(현대)","60.0000","202604","07","23,800","-","10","개인","개인","1999","용현로 143","-","중개거래","경기 의정부시","-"
"4940","경기도 평택시 비전동","1031","1031","0000","우미린센트럴파크","84.9863","202604","07","39,500","-","9","개인","개인","2016","비전3로 76","-","중개거래","경기 평택시","-"
"4941","경기도 용인시 기흥구 동백동","599","0599","0000","모아미래도1단지아파트","59.7350","202604","07","43,800","-","12","개인","개인","2006","동백8로 90","-","중개거래","경기 용인시 기흥구","-"
"4942","경기도 용인시 기흥구 동백동","575","0575","0000","호수마을어울림","84.8000","202604","07","45,800","-","4","개인","개인","2006","동백8로 27","-","중개거래","경기 용인시 기흥구","-"
"4943","경기도 용인시 기흥구 동백동","689","0689","0000","동문굿모닝힐","84.9350","202604","07","51,300","-","4","개인","개인","2007","동백죽전대로 455-10","-","중개거래","경기 용인시 기흥구","-"
"4944","경기도 용인시 기흥구 동백동","689","0689","0000","동문굿모닝힐","84.9350","202604","07","49,500","-","4","개인","개인","2007","동백죽전대로 455-10","-","중개거래","경기 용인시 기흥구","-"
"4945","경기도 수원시 영통구 영통동","970-3","0970","0003","벽적골9단지주공","59.3900","202604","07","57,000","-","11","개인","개인","1999","봉영로1517번길 27","-","중개거래","경기 수원시 영통구","-"
"4946","경기도 부천시 원미구 중동","1179","1179","0000","미리내마을(한신)","41.8500","202604","07","31,800","-","5","개인","개인","1994","조마루로285번길 47","-","중개거래","경기 부천시 원미구","-"
"4947","경기도 남양주시 진접읍 내각리","226","0226","0000","한신","84.9900","202604","07","24,400","-","5","개인","개인","1999","내각1로99번길 34-1","-","중개거래","경기 남양주시","-"
"4948","경기도 안양시 만안구 석수동","182-2","0182","0002","석수e-편한세상","84.8700","202604","07","67,000","-","18","개인","개인","2002","경수대로 1193","-","중개거래","경기 안양시 만안구","-"
"4949","경기도 파주시 금촌동","972","0972","0000","새꽃마을1단지뜨란채(972-0)","59.9900","202604","07","21,000","-","11","개인","개인","2004","번영로 55","-","중개거래","경기 파주시","-"
"4950","경기도 고양시 일산서구 대화동","2582","2582","0000","킨텍스아이파크","119.6924","202604","07","50,000","902","6","개인","개인","2003","고양대로255번길 45","-","직거래","-","26.04.20"
"4951","경기도 수원시 팔달구 매교동","292","0292","0000","힐스테이트푸르지오수원","59.9500","202604","07","71,000","-","7","개인","개인","2023","효원로93번길 33","-","중개거래","경기 수원시 팔달구","-"
"4952","경기도 남양주시 호평동","616","0616","0000","호평마을중흥에스-클래스","84.7681","202604","07","40,000","-","1","개인","개인","2005","늘을3로 65-26","-","중개거래","경기 남양주시, 대전 유성구","-"
"4953","경기도 남양주시 호평동","616","0616","0000","호평마을중흥에스-클래스","84.7681","202604","07","43,000","-","8","개인","개인","2005","늘을3로 65-26","-","중개거래","경기 남양주시","-"
"4954","경기도 파주시 동패동","1772","1772","0000","한울마을7단지삼부르네상스","120.2854","202604","07","45,000","-","15","개인","개인","2010","미래로 345","-","중개거래","경기 파주시","-"
"4955","경기도 파주시 동패동","1781","1781","0000","한울마을1단지운정신도시IPARK","84.9100","202604","07","74,800","-","13","개인","개인","2020","심학산로 384","-","중개거래","경기 파주시","-"
"4956","경기도 평택시 합정동","736-4","0736","0004","평택비티온유안앨리츠","22.4710","202604","07","8,500","-","7","개인","개인","2019","중앙2로 55","-","중개거래","경기 평택시","-"
"4957","경기도 화성시 동탄구 반송동","79","0079","0000","시범다은마을우남퍼스트빌","67.0661","202604","07","68,000","-","17","개인","개인","2007"," 171","-","중개거래","경기 화성시 동탄구","-"
"4958","경기도 수원시 권선구 당수동","336-1","0336","0001","라포리엘","55.6500","202604","07","49,500","-","6","개인","개인","2023","당수로129번길 10","-","중개거래","경기 수원시 권선구","-"
"4959","경기도 수원시 권선구 당수동","742","0742","0000","한라비발디2단지","84.9900","202604","07","38,000","-","15","개인","개인","2004","당진로31번길 16","-","중개거래","경기 수원시 권선구","-"
"4960","경기도 오산시 양산동","668-1","0668","0001","오산세마e편한세상","84.8450","202604","07","41,800","-","7","개인","개인","2010","양산로 460","-","중개거래","경기 오산시","-"
"4961","경기도 용인시 처인구 고림동","997","0997","0000","예진마을","59.5627","202604","07","27,000","-","11","개인","개인","2003","한터로152번길 62","-","중개거래","경기 용인시 처인구","-"
"4962","경기도 남양주시 퇴계원읍 퇴계원리","111-10","0111","0010","쌍용","64.5220","202604","07","39,000","-","8","개인","개인","2002","도제원로 68","-","중개거래","경기 남양주시","-"
"4963","경기도 남양주시 호평동","668","0668","0000","호평마을금강","84.9740","202604","07","48,000","-","4","개인","개인","2004","호평로 94","-","중개거래","경기 남양주시","-"
"4964","경기도 평택시 장안동","619","0619","0000","평택장안마을코오롱하늘채","84.8821","202604","07","31,500","-","10","개인","개인","2013","추담로 58-78","-","중개거래","경기 평택시","-"
"4965","경기도 고양시 덕양구 성사동","869","0869","0000","원당대림e-편한세상","84.8600","202604","07","60,000","-","6","개인","개인","2009","호국로 859","-","중개거래","경기 고양시 덕양구","-"
"4966","경기도 남양주시 호평동","730","0730","0000","두산알프하임","72.9648","202604","07","46,000","-","19","개인","개인","2021","백봉로 32","-","중개거래","경기 남양주시","-"
"4967","경기도 남양주시 호평동","724","0724","0000","호평파라곤","99.2900","202604","07","49,700","-","3","개인","개인","2010","천마산로 65","-","중개거래","경기 남양주시","-"
"4968","경기도 성남시 수정구 창곡동","567","0567","0000","위례 래미안이편한세상","84.9500","202604","07","175,800","-","15","개인","개인","2016","위례동로 61","-","중개거래","경기 성남시 수정구","-"
"4969","경기도 구리시 수택동","518-14","0518","0014","동명A","63.3600","202604","07","61,500","-","2","개인","개인","1990","수택천로15번길 36","-","중개거래","경기 구리시","-"
"4970","경기도 화성시 효행구 봉담읍 동화리","지구BL ","0000","0000","봉담자이라젠느","84.9977","202604","07","56,500","-","23","개인","개인","2025"," 70","-","중개거래","경기 화성시 효행구","-"
"4971","경기도 구리시 수택동","854-3","0854","0003","한성3","59.7200","202604","07","78,000","-","13","개인","개인","1994","체육관로 40","-","중개거래","경기 구리시","-"
"4972","경기도 김포시 운양동","1249-1","1249","0001","풍경마을한강한라비발디","105.2990","202604","07","67,000","-","15","개인","개인","2013","김포한강11로255번길 149","-","중개거래","경기 김포시","-"
"4973","경기도 수원시 영통구 영통동","963-2","0963","0002","신나무실신성","59.9650","202604","07","42,000","-","19","개인","개인","1997","매영로310번길 12","-","중개거래","경기 수원시 영통구","-"
"4974","경기도 수원시 영통구 망포동","690","0690","0000","동수원자이2차","145.2494","202604","07","66,500","-","18","개인","개인","2002","태장로71번길 19","-","중개거래","경기 수원시 영통구","-"
"4975","경기도 부천시 오정구 여월동","7-15","0007","0015","뜰아래","70.4000","202604","07","36,300","-","4","개인","개인","2021","삼작로346번길 20","-","중개거래","경기 부천시 오정구","-"
"4976","경기도 부천시 원미구 중동","1172","1172","0000","보람마을(아주)","59.9400","202604","07","55,700","-","2","개인","개인","1995","조마루로 134","-","중개거래","경기 부천시 원미구","-"
"4977","경기도 화성시 동탄구 석우동","56","0056","0000","신일유토빌","101.8570","202604","07","74,300","-","9","개인","개인","2008"," 232","-","중개거래","경기 화성시 동탄구","-"
"4978","경기도 파주시 금촌동","992","0992","0000","후곡마을4단지뜨란채주공","75.7900","202604","07","34,000","-","7","개인","개인","2004","후곡로 50","-","중개거래","경기 파주시","-"
"4979","경기도 의정부시 민락동","576","0576","0000","청구1차","59.9900","202604","07","20,000","-","16","개인","개인","2000","오목로 110","-","중개거래","경기 의정부시","-"
"4980","경기도 성남시 분당구 야탑동","215","0215","0000","매화마을공무원2","67.4300","202604","07","123,000","-","12","개인","개인","1995","장미로 139","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"4981","경기도 수원시 권선구 오목천동","542","0542","0000","청구1차","59.9700","202604","07","27,900","-","4","개인","개인","2000","오목천로39번길 8","-","중개거래","경기 수원시 권선구","-"
"4982","경기도 용인시 기흥구 중동","1046","1046","0000","초당마을삼부르네상스13단지아파트(코아루)","84.5400","202604","07","43,000","-","10","개인","개인","2006","동백1로 12","-","중개거래","경기 용인시 기흥구","-"
"4983","경기도 용인시 기흥구 중동","958","0958","0000","어은목마을대원칸타빌","143.3778","202604","07","73,000","-","15","개인","개인","2006","동백2로 37","-","중개거래","경기 용인시 기흥구, 경기 용인시 처인구","-"
"4984","경기도 용인시 기흥구 중동","1081","1081","0000","신동백아이파크","101.9972","202604","07","54,000","-","4","개인","개인","2007","언동로217번길 11","20260408","중개거래","경기 용인시 기흥구","-"
"4985","경기도 용인시 기흥구 중동","1081","1081","0000","신동백아이파크","127.7425","202604","07","54,000","-","6","개인","개인","2007","언동로217번길 11","-","중개거래","경기 용인시 기흥구","-"
"4986","경기도 용인시 기흥구 중동","1100","1100","0000","하우스디동백카바나","68.4033","202604","07","46,300","303동","17","개인","개인","2019","동백죽전대로527번길 34","-","중개거래","경기 용인시 기흥구","26.04.07"
"4987","경기도 안양시 동안구 평촌동","899-7","0899","0007","향촌마을현대5차","84.7500","202604","07","136,000","-","11","개인","개인","1994","귀인로 213","-","중개거래","경기 안양시 동안구","-"
"4988","경기도 파주시 금촌동","1019","1019","0000","금촌주공7단지(1019-0)","84.0300","202604","07","26,800","-","2","개인","개인","2005","쇠재로 30","-","중개거래","경기 파주시","-"
"4989","경기도 수원시 권선구 금곡동","1076","1076","0000","호매실더센트라고","84.9300","202604","07","60,000","-","4","개인","개인","2014","서수원로577번길 263","-","중개거래","경기 수원시 권선구","-"
"4990","경기도 수원시 권선구 금곡동","1100","1100","0000","Y CITY(와이시티)","84.7900","202604","07","52,000","-","15","개인","개인","2014","금곡로 20","-","중개거래","경기 수원시 권선구","-"
"4991","경기도 수원시 권선구 금곡동","520","0520","0000","엘지빌리지4","73.5600","202604","07","36,000","-","12","개인","개인","1998","금곡로73번길 71","-","중개거래","경기 수원시 권선구","-"
"4992","경기도 수원시 영통구 원천동","589","0589","0000","광교중흥에스클래스","84.9388","202604","07","178,000","-","27","개인","개인","2019","광교호수공원로 277","-","중개거래","경기 수원시 영통구","-"
"4993","경기도 광주시 곤지암읍 곤지암리","457","0457","0000","쌍용2","134.9470","202604","07","35,000","-","18","개인","개인","2000","곤지암로 108","-","중개거래","경기 광주시","-"
"4994","경기도 광주시 탄벌동","770","0770","0000","벽산블루밍2단지","122.2400","202604","07","47,000","-","2","개인","개인","2011","회안대로 621-15","-","중개거래","경기 광주시","-"
"4995","경기도 구리시 토평동","1008","1008","0000","에스케이신일","84.7406","202604","07","63,000","-","4","개인","개인","2001","검배로 142","-","중개거래","경기 구리시","-"
"4996","경기도 구리시 토평동","1008","1008","0000","에스케이신일","84.7406","202604","07","68,000","-","3","개인","개인","2001","검배로 142","-","중개거래","경기 구리시","-"
"4997","경기도 화성시 동탄구 반송동","80","0080","0000","동탄시범다은마을 월드메르디앙 반도유보라","59.0700","202604","07","67,000","-","1","개인","개인","2007"," 189","-","중개거래","경기 화성시 동탄구","-"
"4998","경기도 안양시 만안구 안양동","438-9","0438","0009","시대맨션","66.8700","202604","07","19,500","-","5","개인","개인","2002","안양로170번길 50","-","중개거래","경기 안양시 만안구","-"
"4999","경기도 남양주시 진접읍 장현리","79-1","0079","0001","신우","59.9700","202604","07","23,400","-","18","개인","개인","1999","금강로 1553-26","-","중개거래","경기 남양주시","-"
"5000","경기도 화성시 동탄구 반송동","132","0132","0000","솔빛마을경남아너스빌","103.3947","202604","07","80,300","-","2","개인","개인","2007"," 96","-","중개거래","경기 화성시 동탄구","-"
"5001","경기도 수원시 영통구 망포동","805","0805","0000","영통롯데캐슬엘클래스1단지","84.8531","202604","07","93,500","-","6","개인","개인","2022","망포로47번길 30","-","중개거래","경기 수원시 영통구","-"
"5002","경기도 수원시 권선구 당수동","218-1","0218","0001","삼정그린뷰","84.9200","202604","07","30,000","-","9","개인","개인","1997","당진로14번길 37","-","중개거래","경기 수원시 권선구","-"
"5003","경기도 안산시 단원구 원곡동","1002","1002","0000","e편한세상초지역센트럴포레","84.9960","202604","07","76,400","-","16","개인","개인","2021","라성로 16","-","중개거래","경기 안산시 단원구","-"
"5004","경기도 화성시 동탄구 청계동","520","0520","0000","동탄역 시범한화 꿈에그린 프레스티지","84.5100","202604","07","145,500","-","16","개인","개인","2015"," 20","-","중개거래","경기 화성시 동탄구","-"
"5005","경기도 김포시 장기동","1886-2","1886","0002","고창마을(케이씨씨스위첸)","59.9590","202604","07","40,700","-","4","개인","개인","2011","김포한강2로 208","-","중개거래","경기 김포시","-"
"5006","경기도 용인시 수지구 상현동","824","0824","0000","광교쌍용포레듀엔","133.6091","202604","07","72,000","-","2","개인","개인","2001","상현로 27","-","중개거래","경기 용인시 수지구","-"
"5007","경기도 용인시 수지구 동천동","862","0862","0000","동천마을현대홈타운2차","84.9750","202604","07","108,000","-","22","개인","개인","2002","동천로63번길 10","-","중개거래","경기 용인시 수지구","-"
"5008","경기도 양주시 고암동","121-2","0121","0002","주원마을(주공2단지)","49.7100","202604","07","13,400","-","12","개인","개인","2000","고암길 306-40","-","중개거래","경기 양주시","-"
"5009","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","84.9505","202604","07","163,000","-","1","개인","개인","2009","서판교로 29","-","중개거래","경기 광주시, 경기 성남시 분당구","-"
"5010","경기도 화성시 동탄구 영천동","884","0884","0000","동탄파크푸르지오","74.7500","202604","07","53,050","-","4","개인","개인","2018"," 7","-","중개거래","경기 화성시 동탄구","-"
"5011","경기도 고양시 일산동구 식사동","910","0910","0000","은행마을2(동문)","84.3316","202604","07","32,500","-","1","개인","개인","2002","은행마을로 62","-","중개거래","경기 고양시 일산동구","-"
"5012","경기도 화성시 병점구 능동","1282","1282","0000","서동탄역파크자이","76.9706","202604","07","54,500","-","13","개인","개인","2018"," 53","-","중개거래","경기 화성시 동탄구, 경기 화성시 병점구","-"
"5013","경기도 부천시 오정구 원종동","180-3","0180","0003","동진1","40.0500","202604","07","17,000","3","3","개인","개인","1987","고강로24번길 14","-","중개거래","경기 부천시 오정구","26.04.13"
"5014","경기도 수원시 영통구 영통동","973-3","0973","0003","벽적골두산","59.8400","202604","07","54,700","-","15","개인","개인","1997","영통로 232","-","중개거래","경기 수원시 영통구","-"
