"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-04-01 ~ 2026-04-24"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"39","경기도 의정부시 신곡동","727-1","0727","0001","한국아파트","49.6860","202604","23","24,500","-","10","개인","개인","1999","회룡로 245","-","중개거래","경기 의정부시","-"
"40","경기도 남양주시 오남읍 오남리","439","0439","0000","신우아이딜2차","84.9920","202604","23","27,000","-","7","개인","개인","2004","진건오남로512번길 26","-","직거래","-","-"
"41","경기도 파주시 다율동","982","0982","0000","청석마을8단지동문굿모닝힐","84.8810","202604","23","34,000","-","14","개인","개인","2005","청석로 350","-","중개거래","경기 파주시","-"
"42","경기도 파주시 다율동","1035","1035","0000","해오름마을14단지푸르지오파르세나","59.8470","202604","23","43,500","-","9","개인","개인","2022","청암로 82","-","중개거래","경기 파주시","-"
"43","경기도 파주시 다율동","1005","1005","0000","중흥S-클래스에듀하이해오름마을1단지","113.9742","202604","23","52,900","-","3","개인","개인","2024","교하로 1160","-","중개거래","경기 파주시","-"
"44","경기도 파주시 동패동","2127","2127","0000","초롱꽃마을11단지운정하우스디","55.9200","202604","23","36,400","-","9","개인","개인","2022","양지로 112","-","중개거래","경기 고양시 일산서구, 경기 파주시","-"
"45","경기도 용인시 기흥구 중동","1096","1096","0000","신동백롯데캐슬에코1단지","106.2300","202604","23","69,000","-","1","개인","개인","2013","동백죽전대로527번길 80","-","중개거래","경기 용인시 기흥구","-"
"46","경기도 고양시 덕양구 지축동","884","0884","0000","지축역북한산유보라","84.9884","202604","23","87,000","-","8","개인","개인","2019","오부자로 14","-","중개거래","서울 은평구","-"
"47","경기도 부천시 소사구 옥길동","771-1","0771","0001","옥길센트리뷰","74.4900","202604","23","59,700","-","17","개인","개인","2017","옥길로 55","-","중개거래","경기 부천시 소사구, 경기 부천시 원미구","-"
"48","경기도 평택시 비전동","828-1","0828","0001","태산신그린","59.9100","202604","23","16,700","-","18","개인","개인","1995","평택5로 134","-","직거래","-","-"
"49","경기도 남양주시 와부읍 덕소리","606-1","0606","0001","덕소주공3","59.9900","202604","23","43,500","-","8","개인","개인","1998","덕소로 33","-","중개거래","경기 구리시, 경기 남양주시","-"
"50","경기도 파주시 아동동","283","0283","0000","팜스프링(283-0)","84.9420","202604","23","20,500","-","7","개인","개인","2001","송화로 13","-","중개거래","경기 파주시","-"
"51","경기도 부천시 원미구 상동","551-1","0551","0001","푸른마을(창보)","84.9641","202604","22","84,700","-","11","개인","개인","2002","송내대로205번길 70","-","중개거래","경기 부천시 원미구","-"
"52","경기도 안성시 당왕동","534","0534","0000","대우1","70.6860","202604","22","17,400","-","7","개인","개인","1993","고수1로 19","-","중개거래","경기 안성시","-"
"53","경기도 용인시 수지구 풍덕천동","1209","1209","0000","e편한세상수지","84.9320","202604","22","150,000","-","18","개인","개인","2017","포은대로313번길 7-10","-","중개거래","경기 용인시 수지구","-"
"54","경기도 가평군 가평읍 읍내리","766-3","0766","0003","가평블루핀","63.1818","202604","22","19,000","-","10","개인","개인","2019","가화로 219","-","중개거래","경기 가평군","-"
"55","경기도 화성시 병점구 병점동","821","0821","0000","느치미마을주공뜨란채3단지","84.9100","202604","22","35,000","-","1","개인","개인","2004"," 88","-","중개거래","경기 화성시 병점구","-"
"56","경기도 부천시 원미구 중동","1184-6","1184","0006","그린타운(우성2)","59.9500","202604","22","49,000","-","13","개인","개인","1994","조마루로 278","-","중개거래","경기 부천시 원미구","-"
"57","경기도 의정부시 민락동","691-1","0691","0001","산들마을(현대)","60.0000","202604","22","25,400","-","4","개인","개인","1999","용현로 143","-","중개거래","경기 의정부시","-"
"58","경기도 용인시 기흥구 중동","1146","1146","0000","신동백동도센트리움","33.1600","202604","22","24,200","-","4","개인","개인","2016","언동로 207","-","중개거래","경기 용인시 기흥구","-"
"59","경기도 수원시 권선구 권선동","1274","1274","0000","대원신동아","59.8800","202604","22","29,000","-","4","개인","개인","1996","권중로 136","-","중개거래","경기 수원시 권선구","-"
"60","경기도 부천시 원미구 심곡동","142-10","0142","0010","에코스마트3","12.2600","202604","22","7,200","-","17","개인","개인","2014","부천로2번길 49","-","중개거래","경기 부천시 원미구","-"
"61","경기도 안양시 동안구 호계동","912","0912","0000","효성백년가약","84.9700","202604","22","55,900","-","9","개인","개인","2000","귀인로79번길 52","-","중개거래","경기 안양시 동안구","-"
"62","경기도 안양시 동안구 호계동","570","0570","0000","호계럭키","127.5700","202604","22","87,500","-","11","개인","개인","1992","경수대로623번길 46","-","중개거래","경기 안양시 동안구","-"
"63","경기도 파주시 금촌동","1003","1003","0000","쇠재마을5단지뜨란채주공","59.0600","202604","22","21,300","-","10","개인","개인","2004","쇠재로 133","-","중개거래","경기 파주시","-"
"64","경기도 화성시 동탄구 능동","1151","1151","0000","푸른마을모아미래도","59.1920","202604","22","44,500","-","10","개인","개인","2008"," 21-11","-","중개거래","경기 화성시 동탄구","-"
"65","경기도 광주시 양벌동","1106","1106","0000","e편한세상 광주양벌","84.9700","202604","22","46,000","-","13","개인","개인","2018","마루들길 251","-","중개거래","경기 광주시","-"
"66","경기도 용인시 기흥구 동백동","575","0575","0000","호수마을어울림","84.8000","202604","22","49,000","-","12","개인","개인","2006","동백8로 27","-","중개거래","경기 용인시 기흥구","-"
"67","경기도 용인시 기흥구 동백동","656","0656","0000","호수마을서해그랑블","84.5700","202604","22","49,000","-","2","개인","개인","2006","동백7로 56","-","중개거래","경기 용인시 기흥구, 경기 용인시 수지구","-"
"68","경기도 이천시 안흥동","474","0474","0000","이천롯데캐슬골드스카이","84.9980","202604","22","55,000","-","32","개인","개인","2018","구만리로 191","-","직거래","-","-"
"69","경기도 화성시 병점구 병점동","500-1","0500","0001","병점성호","84.9650","202604","22","30,400","-","12","개인","개인","2001"," 221","-","중개거래","경기 수원시 장안구, 경기 화성시 병점구","-"
"70","경기도 고양시 덕양구 지축동","848","0848","0000","지축역한림풀에버","72.9360","202604","22","78,800","-","13","개인","개인","2020","오부자로 15","-","중개거래","경기 고양시 덕양구","-"
"71","경기도 화성시 병점구 병점동","872","0872","0000","병점역양우내안애","58.3300","202604","22","37,500","-","15","개인","개인","2016"," 32","-","중개거래","경기 화성시 병점구","-"
"72","경기도 광주시 양벌동","1112","1112","0000","광주역우방아이유쉘1단지","84.6514","202604","22","56,500","-","13","개인","개인","2018","청석로 70","-","중개거래","경기 광주시","-"
"73","경기도 시흥시 미산동","산15-1","0015","0001","부국미산아파트(1동2동3동)","41.1300","202604","22","8,000","-","4","개인","개인","1991","미산로143번길 10","-","직거래","-","-"
"74","경기도 파주시 금촌동","1014-2","1014","0002","그린","19.5900","202604","22","7,500","-","2","개인","개인","2012","정담길 185","-","중개거래","경기 파주시","-"
"75","경기도 하남시 창우동","518","0518","0000","부영","59.9700","202604","22","75,500","-","12","개인","개인","1994","대청로 119","-","중개거래","경기 하남시","-"
"76","경기도 용인시 기흥구 언남동","486","0486","0000","하마비마을동일하이빌1","164.8130","202604","22","57,000","-","12","개인","개인","2001","구성로 105-15","-","중개거래","경기 용인시 기흥구","-"
"77","경기도 안양시 만안구 안양동","155-2","0155","0002","한승미메이드","81.2380","202604","22","54,000","-","11","개인","개인","2005","태평로60번길 16","-","중개거래","경기 안양시 만안구","-"
"78","경기도 양주시 옥정동","1095","1095","0000","e편한세상옥정메트로포레","84.9408","202604","22","43,500","-","13","개인","개인","2020","옥정동로 10","-","중개거래","경기 양주시","-"
"79","경기도 시흥시 은행동","542","0542","0000","두산","71.5500","202604","22","35,000","-","13","개인","개인","1997","대은로104번길 25","-","중개거래","경기 시흥시","-"
"80","경기도 용인시 기흥구 언남동","503","0503","0000","스파팰리스리가","84.9700","202604","22","64,000","-","5","개인","개인","2013","언남로 5","-","중개거래","경기 용인시 기흥구","-"
"81","경기도 오산시 궐동","616-1","0616","0001","세교우남퍼스트빌","84.9834","202604","22","28,500","-","12","개인","개인","2004","궐리사로29번길 13","-","중개거래","경기 오산시, 대전 서구","-"
"82","경기도 용인시 기흥구 영덕동","976","0976","0000","호반써밋레이크파크","84.9588","202604","22","89,000","-","16","개인","개인","2009","흥덕1로79번길 37","-","중개거래","경기 용인시 기흥구","-"
"83","경기도 의정부시 고산동","945","0945","0000","의정부고산대방노블랜드에듀파크아파트","74.1209","202604","22","47,000","-","18","개인","개인","2020","서광로 210","-","중개거래","경기 의정부시","-"
"84","경기도 수원시 장안구 천천동","333","0333","0000","화서역푸르지오더에듀포레","84.7900","202604","22","78,000","-","9","개인","개인","2009","화산로 85","-","중개거래","경기 수원시 장안구","-"
"85","경기도 의정부시 녹양동","355","0355","0000","녹양힐스테이트","59.9800","202604","22","29,000","-","8","개인","개인","2006","녹양로62번길 12","-","중개거래","경기 의정부시","-"
